행정동코드,유휴공간수,문화시설수,복지시설수,상권수,총인구,청년인구,노인인구,평균생활인구,평균청년생활인구,평균노인생활인구
1129062000,0,1,0,2,17566.0,4366.0,4791.0,15873.704489247322,3349.129092741932,4161.997694892469
1129063000,2,1,0,3,21668.0,5637.0,6909.0,20639.01605510753,4379.128561827957,5394.863252688169
1129064000,2,2,2,4,13795.0,5009.0,4329.0,14536.05418682793,5233.468682795699,3124.001774193548
1129065000,0,0,0,4,23513.0,5727.0,7568.0,23289.973541666688,4869.378319892469,6491.156982526879
1129066000,0,1,0,3,35437.0,7249.0,7165.0,32868.224831989224,7380.572385752684,8019.351532258057
1129068500,0,1,0,3,21362.0,5253.0,4827.0,20577.447036290316,4637.852466397854,5321.684079301066
1129070500,0,1,1,6,36798.0,9853.0,10634.0,38208.38674059145,9481.482674731196,9584.124193548396
1129071500,1,1,0,4,24661.0,5644.0,7341.0,24865.28384408601,5408.609784946237,6552.274489247314
1129072500,1,3,1,3,18338.0,5878.0,5514.0,24679.393124999984,6374.795100806445,6076.966901881708
1129076000,1,1,0,4,22700.0,5828.0,6766.0,23165.64494623656,5020.0810483871,6313.561263440863
1129077000,0,1,0,5,15649.0,4502.0,4987.0,13836.218326612872,2994.618232526874,3600.2413709677407
1129078000,0,0,1,1,18641.0,4992.0,4272.0,13461.637916666668,3099.1234744623666,3256.191686827962
1129081000,0,2,0,10,32797.0,8849.0,11103.0,29468.953971774146,6671.263938172065,8160.340947580637
1130553400,0,0,0,4,24459.0,5848.0,8199.0,23809.139354838713,4886.384354838709,6544.590080645167
1130553500,0,0,0,4,20202.0,5976.0,7129.0,21106.00370295695,4956.278501344083,5649.1521639784905
1130554500,0,1,1,5,27370.0,6907.0,9296.0,32174.194630376354,7105.300698924737,8641.352298387093
1130555500,0,0,0,6,21936.0,4962.0,8695.0,27445.591377688183,5290.494751344083,7579.486028225794
1130557500,0,1,0,2,29987.0,6305.0,7402.0,24771.213326612884,4782.579724462367,6496.177795698933
1130559500,0,0,0,5,16040.0,5012.0,5100.0,20603.074905913985,5031.73600134408,5658.598104838711
1130560300,0,1,0,2,14328.0,3108.0,5877.0,15870.328877688218,2836.054018817205,4144.084764784953
1130560800,0,4,1,1,15610.0,3060.0,6546.0,18120.718245967728,2977.6309206989295,4744.573682795695
1130561500,1,1,0,7,19298.0,5098.0,6892.0,18063.474018817193,3926.1219623655847,4836.163071236563
1130562500,0,3,0,5,19954.0,4572.0,7634.0,20153.943629032237,3730.2664784946296,5538.239280913977
1130563500,0,0,0,8,22375.0,7146.0,7366.0,27082.269858870965,7280.807553763444,6945.610766129023
1130564500,0,1,0,6,19349.0,4298.0,7311.0,23968.448232526855,4467.025436827952,6651.873420698917
1130566000,0,1,1,8,28020.0,6312.0,10686.0,28506.4735819892,5351.268124999997,7604.651088709675
1132051100,0,1,1,2,23378.0,5813.0,7429.0,22665.46883064516,4821.196088709677,5971.368037634413
1132051200,0,0,0,2,27480.0,7064.0,8987.0,28055.500369623733,5748.769240591393,7594.566733870977
1132051300,0,0,1,2,12742.0,2739.0,4660.0,13301.275275537637,2431.084805107528,3823.511760752693
1132051400,0,3,1,2,25942.0,6817.0,7519.0,32180.559079301074,7135.397224462366,8713.25434811829
1132051500,0,0,0,4,23284.0,6240.0,7442.0,25361.149522849464,5683.677654569881,6745.388931451611
1132052100,0,0,3,4,19440.0,3786.0,8614.0,24937.160880376345,3879.9245430107576,7057.006740591398
1132052200,0,4,0,3,25554.0,5618.0,10004.0,26795.67719086023,4801.754791666669,6924.148434139792
1132066000,0,3,2,6,20482.0,4916.0,7290.0,17981.630329301068,3649.094422043017,4729.607419354836
1132067000,0,2,1,2,17333.0,4112.0,6225.0,17158.65998655913,3511.1251747311853,4534.0541061828
1132068000,0,2,0,4,15949.0,4393.0,5392.0,15273.270409946239,3518.172970430106,3901.2594086021486
1132068100,0,2,0,1,17657.0,3916.0,5594.0,20639.400853494604,4066.905893817205,5278.754663978489
1132069000,0,1,0,5,27628.0,6280.0,9688.0,31254.773413978495,6160.467876344081,8897.062553763431
1132070000,0,1,2,4,17645.0,3670.0,7009.0,14511.317701612905,2404.3794354838674,4196.341834677426
1132071000,0,4,1,2,25385.0,5234.0,8765.0,23961.209018817193,4350.993225806454,6265.949294354834
1135056000,0,1,1,5,20078.0,5962.0,6212.0,21396.025887096755,5964.920739247321,5173.872170698927
1135057000,0,2,0,1,24822.0,5184.0,8954.0,24948.68907930107,4775.16807123656,6682.879240591393
1135058000,0,0,0,0,27839.0,7176.0,9244.0,30891.906700268813,6269.749946236563,7796.227822580645
1135059500,0,2,0,6,35191.0,11254.0,10494.0,37723.52483198925,10090.199590053768,9018.643870967742
1135060000,0,2,1,3,40695.0,12105.0,9503.0,46463.39516801076,13389.66494623657,10775.18377688171
1135061100,0,2,1,2,25422.0,7073.0,7421.0,30442.303884408586,7642.020342741929,8036.18254704303
1135061200,0,0,0,0,19608.0,4652.0,4998.0,15692.287916666663,3288.881478494624,4267.3556586021505
1135061900,0,3,0,2,22233.0,4342.0,4405.0,25536.873293010747,6647.95065188173,6521.508225806454
1135062100,0,0,0,0,25977.0,4384.0,4464.0,25051.595819892453,5645.195073924742,6289.623844086017
1135062400,0,1,0,3,18600.0,3854.0,6036.0,19221.583024193566,3792.695954301082,5295.932735215053
1135062500,0,2,0,3,31490.0,7217.0,10931.0,31948.74273521506,6501.314569892477,8228.689422043008
1135063000,0,0,2,3,35997.0,8443.0,12269.0,39232.51491935481,7776.277909946225,10650.204227150516
1135064000,0,3,1,3,18580.0,4808.0,5926.0,26575.756323924674,7450.82397177419,7053.41391129032
1135066500,1,0,0,3,26613.0,5531.0,9510.0,26496.266236559117,4798.323447580649,7506.476505376338
1135067000,0,0,0,4,22152.0,5097.0,8031.0,21441.276404569893,4302.43180107527,6376.462809139775
1135069500,0,0,0,2,30309.0,8488.0,8165.0,40055.96625000006,9898.33106854839,10513.925651881713
1135070000,0,0,0,0,21239.0,6890.0,4636.0,20520.7571639785,5062.698440860213,4514.3734677419325
1135071000,0,0,0,1,18959.0,4817.0,5615.0,19838.443608870948,4349.414731182799,4969.877755376344
1135072000,0,0,1,1,17737.0,4936.0,4628.0,16335.159744623677,3981.4025806451727,4282.571552419354
1138051000,0,2,0,5,35103.0,9500.0,11172.0,40115.334690860174,8653.03612903226,10399.814368279587
1138052000,0,1,3,5,34424.0,9349.0,11196.0,32727.628340053747,6657.893830645147,8468.835994623667
1138053000,0,2,0,6,26181.0,7283.0,9426.0,27953.14231182795,5961.136693548382,7198.792204301067
1138055100,0,0,3,4,13993.0,3965.0,4625.0,19465.415463709676,5063.917674731181,4720.9398454301
1138055200,0,1,0,6,26779.0,7202.0,8291.0,25191.687513440877,5930.371606182798,6750.622399193543
1138056000,0,1,0,4,30648.0,7511.0,10056.0,31871.42909946232,7037.045665322587,8516.906693548392
1138057000,0,0,2,7,26990.0,9865.0,7805.0,35266.60506048392,9339.12188844086,8523.363602150546
1138058000,0,1,1,6,32004.0,9140.0,8394.0,29783.646686828008,6871.208689516114,7595.6888978494635
1138059000,0,0,1,2,26878.0,6158.0,6156.0,22864.722661290307,4621.933830645161,5395.649462365604
1138060000,0,2,3,5,22889.0,6219.0,8397.0,23155.42091397848,4868.170645161299,6058.335524193557
1138062500,0,1,3,3,44528.0,11735.0,13969.0,44960.91747311829,9844.16270161291,11669.654153225782
1138063100,0,1,0,3,25725.0,6932.0,8225.0,23892.445483870953,5277.320430107526,6270.654771505373
1138063200,0,1,1,3,18759.0,4849.0,6146.0,19178.13192204305,4014.4657862903236,4770.814616935473
1138064000,0,1,1,5,15257.0,3996.0,4497.0,12844.75882392473,2842.259751344084,3549.6893750000013
1138065000,0,3,0,2,21143.0,6146.0,5143.0,19645.605013440872,4407.443044354841,5418.5050201612885
1138069000,0,5,2,2,53836.0,12729.0,13745.0,59964.81320564509,13890.2710080645,15387.727278225777
1141052000,0,2,2,2,16323.0,4160.0,4950.0,16034.587607526868,3333.2427822580607,4278.4096438172055
1141055500,0,4,2,4,15106.0,4570.0,3590.0,11906.717022849458,2707.8412500000013,3207.3122311827938
1141056500,0,2,0,6,19224.0,6019.0,5292.0,40329.31410618277,11448.252735215061,9728.000624999984
1141058500,0,2,1,10,20222.0,12207.0,3021.0,43470.322009408585,20747.71133064517,7340.19315860216
1141061500,1,5,3,12,33123.0,12556.0,8596.0,36303.751155913975,11113.267674731182,8013.644401881715
1141062000,0,1,0,5,24281.0,6405.0,7413.0,26731.884307795695,5684.727177419357,7095.628111559143
1141064000,0,1,0,4,17290.0,4441.0,5724.0,19151.12471774195,4083.5671236559165,5022.468232526879
1141065500,0,0,1,0,11949.0,3121.0,3992.0,9926.00270161289,2163.902130376344,2628.054260752685
1141066000,1,1,0,3,23241.0,5930.0,7443.0,21387.326182795707,4333.432788978489,5783.786827956996
1141068500,1,2,0,4,27231.0,7462.0,8121.0,24653.00755376342,5610.093743279567,6629.152305107525
1141069000,0,0,0,2,16716.0,3625.0,3546.0,12864.245194892464,2799.5993817204303,2886.4583803763417
1141070000,0,2,0,4,28483.0,7662.0,7254.0,28523.565692204254,7115.8524731182715,6559.8061155914065
1141071000,0,0,0,2,17276.0,3852.0,4745.0,16310.31579973117,3257.5871706989246,4292.706176075272
1141072000,0,0,2,4,29682.0,7934.0,9867.0,28603.68490591395,6283.137728494626,7506.967775537626
1144055500,0,0,1,4,28994.0,8613.0,5818.0,28885.728494623632,6858.956848118279,6868.5932661290335
1144056500,0,1,2,7,35929.0,11918.0,9496.0,37850.12415322579,9205.84226478497,10119.430900537616
1144058500,0,0,0,3,20222.0,5997.0,5694.0,22661.51034274196,5662.349885752695,5932.593864247308
1144059000,1,0,1,4,21114.0,5243.0,4574.0,23396.225087365587,5182.240913978494,5828.937163978496
1144060000,1,4,2,5,14212.0,5981.0,2927.0,19815.367405913974,7176.580745967737,4064.7916532258023
1144061000,0,2,0,2,16820.0,4817.0,3164.0,18783.341303763435,5499.536754032255,4220.093340053762
1144063000,1,2,1,4,21906.0,6612.0,5113.0,21248.72459677418,5354.572970430105,5324.694852150536
1144065500,1,3,1,7,24288.0,8598.0,5297.0,28808.509717741887,10254.295000000016,5886.070725806456
1144066000,0,13,0,12,23500.0,10750.0,4802.0,62774.98483870969,30255.476861559076,9153.254341397856
1144068000,1,2,0,5,15629.0,6168.0,3829.0,20007.039717741933,6864.9495766129,4093.9063104838747
1144069000,0,0,0,4,18437.0,6376.0,4996.0,20595.18673387095,6134.546579301081,4368.198145161291
1144070000,0,1,0,4,17184.0,5191.0,4580.0,17850.47995967744,4380.152412634409,4347.592271505377
1144071000,0,0,0,4,13782.0,5549.0,3322.0,16241.846249999995,5782.768178763444,2953.455766129029
1144072000,0,2,0,4,18316.0,6203.0,4530.0,22153.736565860218,6156.427849462367,5197.866021505376
1144073000,0,1,0,6,38164.0,13521.0,9454.0,38414.569731182826,10842.219153225815,9095.772795698927
1144074000,0,2,1,2,29119.0,7782.0,6552.0,49914.155947580664,14933.85622311827,11251.79413978494
1147051000,0,3,1,3,29901.0,5268.0,5649.0,35886.88863575268,8827.2046908602,8617.200651881725
1147052000,0,0,0,5,27851.0,8869.0,7379.0,29173.841861559093,7317.508581989256,7182.579879032252
1147053000,0,0,3,3,20674.0,6487.0,5970.0,14393.11552419357,3367.7945631720504,3756.2896505376343
1147054000,0,0,1,4,23687.0,6164.0,5677.0,21283.245208333316,5157.282177419356,5853.484341397846
1147055000,0,1,2,0,40547.0,6928.0,8153.0,44539.06246639781,10094.683387096788,10204.280443548385
1147056000,0,1,0,6,18527.0,4208.0,7076.0,18817.399079301063,3515.304623655917,5117.453662634407
1147057000,0,0,1,3,20395.0,4767.0,6494.0,12796.571458333334,2666.1916733870903,3142.80133736559
1147058000,0,1,1,4,13612.0,3190.0,4951.0,13894.498151881719,2982.8012096774155,3655.151969086019
1147059000,0,0,0,2,16714.0,3606.0,5415.0,10672.805033602155,2107.734314516129,2649.4069690860233
1147060000,0,0,0,2,13667.0,3565.0,4234.0,13618.282224462357,3009.1525604838707,3395.633501344088
1147061000,0,1,1,2,13694.0,3387.0,3269.0,14990.34418010751,3205.173420698924,3543.7775739247368
1147061100,0,2,1,4,17890.0,4231.0,6842.0,18738.17483870969,3489.2501814516077,5063.342096774194
1147062000,0,2,0,4,19444.0,3600.0,4553.0,16053.266895161298,3323.1048252688183,4185.48831317204
1147063000,0,0,0,3,18457.0,3435.0,4471.0,18365.506061827928,4167.8992137096775,4459.872896505382
1147064000,0,2,0,4,47403.0,11216.0,13102.0,51910.392318548395,11201.417829301077,14125.69625000001
1147065000,0,1,0,6,31065.0,9495.0,9489.0,36298.8963575269,9428.398091397848,8825.629314516122
1147067000,0,1,1,0,23845.0,4697.0,5228.0,21202.7279704301,4358.171955645168,4976.751592741938
1147068000,0,1,1,1,27715.0,5423.0,8323.0,28762.22256720429,6013.946693548386,7071.582311827942
1150051000,0,1,0,2,41090.0,12487.0,8024.0,37537.770672043,9335.04492607527,8393.002661290315
1150052000,0,1,1,3,24864.0,11161.0,4948.0,26984.030235215087,7826.580483870971,5600.2761424731125
1150053000,0,1,0,2,18979.0,5791.0,5487.0,18829.88308467742,4496.8206787634335,4611.096854838715
1150053500,0,1,3,3,28563.0,7434.0,10820.0,31368.43630376345,7906.977869623649,7297.408776881719
1150054000,0,2,1,7,49493.0,17945.0,13832.0,48230.37168682804,12759.02061827957,11077.070295698917
1150055000,0,0,0,2,16676.0,4715.0,4787.0,10103.202345430125,2514.4953561827992,2442.2792473118266
1150056000,0,0,1,2,20535.0,5616.0,6536.0,18755.22973790322,4502.361706989252,4403.460934139793
1150057000,0,1,0,5,18974.0,4877.0,6307.0,20313.411478494603,4577.064865591396,5286.224616935479
1150059000,0,0,2,3,31745.0,10796.0,8302.0,31329.546377688235,8355.515450268813,7167.673232526881
1150059100,0,1,2,6,25428.0,8924.0,6794.0,27247.90961693551,7633.589327956992,6090.1961827956975
1150059300,0,0,0,2,22412.0,6689.0,6957.0,28809.176357526892,7260.595020161283,6962.18419354838
1150060300,0,3,1,5,33391.0,16356.0,5896.0,56684.97577284952,18412.338138440835,11464.45106182797
1150060400,0,1,0,0,12947.0,3266.0,6166.0,14170.46161962363,2446.378091397846,3023.302049731181
1150060500,0,1,0,1,13381.0,3901.0,5267.0,12743.817587365591,2481.0285685483873,2952.562641129032
1150061100,0,0,0,4,34773.0,7929.0,8365.0,45203.34290322589,11455.2802419355,11332.378958333331
1150061500,0,1,0,4,43655.0,10604.0,10030.0,40065.06051747309,9826.340483870974,9124.7596639785
1150062000,0,0,2,6,28684.0,8043.0,6749.0,43608.20502016128,11774.514415322612,10016.171538978508
1150063000,1,2,1,6,40009.0,9482.0,11154.0,42003.29753360217,9330.971330645165,10501.191579301078
1150064000,0,0,2,5,22761.0,6789.0,7684.0,35284.439166666605,8884.45288978494,8465.104361559133
1150064100,0,2,0,2,21351.0,4991.0,8000.0,22150.52336021506,4093.59495295699,5504.733319892466
1153051000,0,2,0,1,35749.0,9844.0,7885.0,37994.281276881695,9450.464038978498,8797.710873655904
1153052000,1,0,0,0,20120.0,5814.0,4769.0,18465.138245967722,4471.195517473118,4269.930067204302
1153053000,7,1,0,6,21742.0,5260.0,8491.0,26292.75782258066,5471.195954301073,7787.584153225803
1153054000,0,2,0,4,22617.0,8596.0,5363.0,42150.35977150539,13809.140477150526,9072.660060483877
1153055000,0,3,0,5,17726.0,4760.0,6732.0,18096.67062499998,3395.540544354836,4991.595026881726
1153056000,1,6,0,5,28571.0,10222.0,7802.0,36043.30898521502,9695.610826612901,8955.467392473138
1153059500,0,1,0,4,8739.0,3059.0,2988.0,9938.804025537645,3492.982983870966,2275.1138642473124
1153072000,0,2,0,6,26193.0,8069.0,7153.0,30794.680940860242,7754.871055107518,7352.3387903225785
1153073000,0,1,0,6,24924.0,5775.0,8461.0,17235.55061827958,3404.4364381720447,4434.144973118283
1153074000,0,0,0,3,33192.0,8767.0,10653.0,32992.828521505435,6831.222271505364,8289.962258064503
1153075000,0,1,0,2,29240.0,7314.0,10000.0,26997.823326612932,5937.307365591394,6659.9967405913985
1153076000,0,0,0,4,18700.0,4314.0,6774.0,15291.05713037635,2856.0353561827965,4034.463118279577
1153077000,1,2,0,5,22660.0,8581.0,6243.0,19135.60319220428,5562.263420698925,4006.3293481182804
1153078000,0,1,0,3,35878.0,8178.0,11081.0,40913.145060483825,8590.8996639785,10209.667849462374
1153079000,0,1,1,6,21832.0,5081.0,7491.0,22707.08644489244,4728.910504032258,5828.076525537633
1153080000,0,0,0,0,15946.0,3726.0,3152.0,11567.542916666684,2473.788649193551,2437.618286290325
1154551000,0,1,0,5,25373.0,14111.0,4660.0,67279.49389784949,25069.17379704298,14841.56144489248
1154561000,0,2,6,7,47506.0,19418.0,10486.0,49232.231787634475,14898.428615591396,11563.307997311837
1154562000,0,0,1,3,17115.0,4519.0,6061.0,13916.639536290322,3139.7725470430123,3773.860181451612
1154563000,0,0,0,6,22673.0,6732.0,7935.0,17966.52731182797,4306.081310483869,4746.516901881722
1154564000,0,1,2,3,13822.0,3507.0,5080.0,14044.655302419338,2968.808776881725,4281.760376344088
1154567000,0,2,6,10,31290.0,8744.0,10211.0,29710.64967069891,7026.119307795692,7899.973797043013
1154568000,0,0,2,1,19912.0,4082.0,6803.0,18045.137715053756,3449.6635752688157,4911.509381720434
1154569000,0,0,0,4,9981.0,2370.0,3801.0,12195.989543010755,2374.4393481182788,3507.5648655913983
1154570000,0,0,1,2,18352.0,4077.0,7058.0,18027.37487231178,3418.5235080645157,5129.652795698923
1154571000,0,5,1,4,17266.0,3873.0,6723.0,14334.140631720418,2639.5338373655914,4306.517184139779
1156051500,0,2,2,5,20288.0,5703.0,6520.0,17695.065860215058,4243.744549731177,4615.620181451608
1156053500,1,4,3,16,31162.0,17117.0,5339.0,50073.28663306448,17822.263797043015,10173.09106182795
1156054000,0,1,1,3,34066.0,8627.0,9386.0,105656.13929435489,33104.8487432795,23369.088770161266
1156055000,0,0,0,7,21052.0,8756.0,5108.0,26690.078118279576,7641.172943548377,6021.149374999991
1156056000,0,0,0,5,36289.0,14588.0,7417.0,40518.81186155914,12910.290383064503,8263.355423387095
1156058500,1,1,0,5,17605.0,5944.0,5136.0,19102.45153225805,4721.757997311825,4748.255040322585
1156060500,0,4,2,8,31258.0,8652.0,6906.0,44823.560215053825,11906.73491935483,10176.446827956986
1156061000,0,0,0,4,18215.0,7510.0,3495.0,22909.008487903207,6740.607815860218,4838.723803763439
1156062000,0,0,0,4,22502.0,9111.0,4391.0,27145.751780914023,7957.6510282258,6152.611854838716
1156063000,0,0,1,5,18947.0,7040.0,5348.0,19834.659731182797,5515.55999999999,4637.00668010753
1156065000,0,0,2,3,16010.0,4305.0,5023.0,11873.947419354825,2961.642083333331,2883.680577956988
1156066000,0,0,2,2,11828.0,3072.0,3774.0,11683.827103494625,2823.8348991935472,2772.4739784946246
1156067000,0,0,0,3,9547.0,2211.0,3121.0,8047.285672043017,1658.5990524193514,2088.037526881722
1156068000,0,1,1,8,17754.0,6229.0,5041.0,17081.224240591415,4631.411081989246,4020.9722782258013
1156069000,0,0,1,1,19394.0,5449.0,4257.0,18684.722620967743,4464.401162634409,4358.091465053761
1156070000,0,0,1,6,13204.0,3401.0,4803.0,14427.50430779573,3107.0847177419414,3918.3945698924745
1156071000,0,0,0,6,11436.0,3588.0,4023.0,11991.909569892472,2991.0898185483816,3197.1610416666667
1156072000,0,1,0,5,20805.0,5610.0,7334.0,20588.392264784954,4315.610020161288,5855.37204973118
1159051000,0,2,1,6,32742.0,12321.0,8886.0,36011.952311827954,13078.81921370966,7351.538326612899
1159052000,1,1,0,3,7782.0,3144.0,2411.0,11537.65741935484,3631.08725134409,2606.2758870967746
1159053000,1,2,3,7,43752.0,16128.0,11185.0,40738.68918682801,13654.415483870956,8978.119099462372
1159054000,1,3,0,4,26876.0,7891.0,6696.0,25657.454206989212,6502.999374999997,6204.078198924732
1159055000,0,0,0,2,23377.0,7687.0,7088.0,21028.742399193543,5381.342493279576,5181.222412634408
1159056000,1,1,0,4,28787.0,8919.0,8378.0,24468.91231854837,6185.609979838702,6184.912029569892
1159060500,0,3,0,5,29846.0,8302.0,7815.0,32763.46723790326,8801.254112903232,8158.052150537652
1159062000,0,2,1,5,22140.0,9786.0,5744.0,25879.446176075326,8538.900201612909,5272.102620967752
1159063000,0,0,0,3,27677.0,7671.0,8411.0,31527.300745967696,7119.4201680107735,7634.946196236574
1159064000,0,2,0,2,23093.0,6324.0,6960.0,18721.709052419363,4088.9575134408615,4471.8535551075165
1159065000,0,1,0,3,13534.0,4530.0,4159.0,13079.045309139783,3356.584334677419,3037.51112231183
1159065100,0,3,1,2,13791.0,4390.0,3715.0,14401.539623655915,3320.257889784941,3386.7873521505403
1159066000,0,2,1,5,33698.0,10322.0,8131.0,34388.235060483916,9466.186014784944,8125.902473118267
1159067000,0,0,0,3,22775.0,6369.0,6225.0,21799.611081989256,5466.399206989242,5499.451034946234
1159068000,0,1,0,3,22054.0,7599.0,5143.0,24886.8574865591,6735.087177419364,5711.2929973118335
1162052500,0,0,1,3,22968.0,8170.0,6793.0,21114.776693548385,5952.49216397849,4859.942903225805
1162054500,0,1,1,1,14276.0,3917.0,4158.0,8589.170799731175,1552.5982795698928,2193.8743346774163
1162056500,0,0,0,2,29674.0,7615.0,8409.0,24220.86931451616,5215.9418279569845,6316.47895833333
1162057500,1,1,0,4,28418.0,13431.0,6502.0,28993.846276881723,10698.437735215051,5426.827533602152
1162058500,0,3,0,1,17524.0,10055.0,2898.0,22832.850524193538,10313.3871639785,3675.1457862903194
1162059500,0,0,2,6,35843.0,19182.0,6925.0,37234.1288776881,15407.499549731167,6537.509643817201
1162060500,0,0,0,4,31396.0,10007.0,8882.0,31685.25614919355,8455.951303763437,7574.6261626344185
1162061500,0,0,0,2,15167.0,7844.0,3417.0,13668.078649193569,5249.9793951612955,2358.3823319892467
1162062500,0,0,0,3,24908.0,10699.0,6169.0,22681.390087365617,7659.56690188173,4647.369805107531
